x1,x2,x3,y1,y2,y3
0.8933448,0.85385334,-1.5585933,0.4491301,0.4292757,-0.7835845
2.048545,0.9106622,-0.7758856,0.86352444,0.383872,-0.32705954
-0.785942,-1.4791297,-1.3120466,-0.36939028,-0.69518626,-0.6166578
-1.6468934,-1.0686301,1.2248868,-0.7117098,-0.46181163,0.5293384
-1.0542195,0.8296414,1.1019807,-0.6072341,0.47787637,0.63474476
-0.42592135,-0.36520317,-0.63079613,-0.50452214,-0.43259886,-0.74720514
0.53602207,0.5631292,-1.2898275,0.3559202,0.3739194,-0.8564491
0.3725887,-0.7873114,-1.6328837,0.20132604,-0.42541894,-0.8823188
0.7069262,0.049030513,0.56389236,0.7806107,0.05414107,0.6226681
0.38959718,0.20358536,-1.372864,0.27026772,0.14122935,-0.95237046
1.9014528,-1.2832526,0.5228475,0.80816877,-0.545417,0.22222428
0.9467979,-0.58350664,0.9874535,0.6366014,-0.39233413,0.6639371
-1.4199013,0.36961535,0.44933096,-0.92532974,0.24087313,0.2928227
0.19867651,-0.41422838,-0.6439258,0.25116792,-0.5236698,-0.8140545
-0.13359319,-2.9307468,0.3481692,-0.04521873,-0.9920015,0.11784859
-2.3409908,0.38024494,-1.112801,-0.89358926,0.14514486,-0.42477188
0.61367726,0.8895651,0.9610427,0.42433426,0.6151001,0.66452414
-1.1317877,2.6716704,0.08286228,-0.3899094,0.92041063,0.028546682
0.5923346,-1.1470084,-0.28458947,0.44808564,-0.86768186,-0.21528448
-0.3385849,-1.0368619,1.4003305,-0.19075137,-0.5841454,0.78891575
-2.1100326,0.35531032,2.0852349e-05,-0.98611677,0.16605312,9.745277e-06
0.01517006,0.045081057,1.2068194,0.01256053,0.037326284,0.9992242
-0.011594284,-1.5492544,0.14429624,-0.0074513257,-0.995663,0.09273521
-0.40386707,0.5084305,1.021282,-0.3337144,0.42011487,0.84388286
-1.9262023,-1.5477973,-0.4838648,-0.7649892,-0.6147061,-0.1921664
-0.6810286,1.0029767,-1.1003454,-0.41596395,0.61260587,-0.6720775
-2.418638,0.14158216,-0.038321655,-0.9981662,0.058430627,-0.015815256
0.23536816,0.70236284,-0.59675854,0.24743642,0.7383758,-0.6273567
-0.57496774,0.26592007,0.6505436,-0.6332074,0.29285565,0.7164385
-0.846553,0.99123526,-1.7432303,-0.38891464,0.45538303,-0.8008568
-0.32270643,0.523022,-0.2515346,-0.4859678,0.78762555,-0.37878922
-0.87497056,-0.054686103,-0.18743919,-0.975994,-0.061000116,-0.20908077
-0.2189711,1.0488268,-1.20225,-0.13597304,0.651283,-0.74655324
-1.037533,0.656791,-0.29535246,-0.8215053,0.52003866,-0.23385628
-1.7953899,-0.77336854,-1.7386343,-0.6862651,-0.29561034,-0.664571
1.6373409,-0.8283506,1.2584574,0.73587316,-0.37228715,0.56559086
0.050460394,0.6123977,-0.083031185,0.08138018,0.9876465,-0.13390884
-0.914497,-0.33338508,-0.05200734,-0.9381775,-0.34201795,-0.053354047
1.4134245,1.2953225,-0.90956175,0.6660778,0.61042213,-0.42863193
-0.50965214,0.3915293,0.9644451,-0.43974847,0.3378273,0.83216226
0.4072254,0.47496605,0.7782501,0.40781745,0.4756566,0.7793816
-1.2380534,-0.3473766,-1.8982352,-0.5399841,-0.15151031,-0.8279262
-0.17051063,-0.2435618,-0.03531402,-0.5694984,-0.81348634,-0.11794736
0.78240114,-1.1695559,0.26781014,0.5462216,-0.81650794,0.18696763
-1.0965909,0.57039803,-0.36350626,-0.851119,0.44271442,-0.28213537
1.0060606,0.45808673,0.80111176,0.7369307,0.3355446,0.5868075
-1.1114343,-0.87913245,1.82024,-0.481803,-0.38110092,0.7890678
0.12896211,1.0210162,1.0379843,0.08822852,0.698521,0.71012956
-0.5810565,-0.022326253,-0.199255,-0.9453039,-0.036321934,-0.3241622
1.3666085,0.3650251,-0.6096299,0.8872378,0.2369838,-0.39578763
-1.670607,0.39059842,1.0363084,-0.8334895,0.19487508,0.5170289
0.049146175,0.6115179,1.6175104,0.028409097,0.35348982,0.9350069
-0.60188824,-0.6683945,0.14280185,-0.6608919,-0.73391783,0.15680085
1.012665,1.7832041,-1.5975976,0.38955498,0.6859682,-0.61456853
-0.29117727,0.45825738,-1.8245265,-0.15296163,0.24073236,-0.95846266
0.42783368,0.29265302,-0.41572377,0.6438769,0.44043407,-0.62565184
-0.3893229,2.6684477,0.5560216,-0.1413959,0.96913785,0.2019382
-0.08964108,1.0145957,-0.812552,-0.06879851,0.7786907,-0.62362444
0.6153851,0.2820388,0.83002055,0.57455474,0.26332572,0.77494925
-0.48696816,-0.02678976,0.21868166,-0.91109294,-0.050122295,0.4091424
-0.7025851,0.84804094,-0.41278857,-0.5973893,0.7210665,-0.35098305
-1.1637201,-0.029304838,-0.49932563,-0.9187307,-0.023135506,-0.39420626
-0.68943715,-0.5222137,-0.7365512,-0.60688895,-0.45968762,-0.6483619
2.0335522,-0.78824633,-1.3761818,0.7885455,-0.3056563,-0.5336386
-0.3490563,0.27165475,-0.4616914,-0.5459368,0.42487797,-0.7221023
1.0198498,-0.4355639,0.3216072,0.88324654,-0.37722254,0.2785297
0.3145523,0.3804608,-1.3259923,0.22231376,0.26889542,-0.93716156
0.056561936,0.068697795,-0.07669959,0.48146158,0.5847634,-0.6528756
-0.5203092,1.7612228,1.4144021,-0.22446394,0.7598002,0.61018
0.19823217,0.03588906,0.4123559,0.43193945,0.078200735,0.8985059
-0.55982125,-1.9069039,0.054840866,-0.28158078,-0.95914096,0.027584044
-1.3493948,-0.038894564,0.38436598,-0.9613756,-0.027710412,0.27384132
0.49132642,1.3230087,1.1566789,0.26925898,0.72504133,0.63388854
-1.3952205,-0.6703747,0.9215993,-0.7744788,-0.3721211,0.51157445
-1.2501578,-0.26922894,0.037822183,-0.9771602,-0.21043728,0.029562933
0.4168288,-3.2312188,1.3549337,0.11813176,-0.91574657,0.38399625
0.14897336,0.673656,0.43379357,0.18279527,0.8265983,0.53227913
0.097008176,-0.91358477,-0.37502974,0.097759165,-0.9206573,-0.37793303
-0.6379445,-0.8742675,-0.12483985,-0.58556557,-0.80248505,-0.114589766
2.7356062,0.8657337,-0.466407,0.9410453,0.29781136,-0.16044345
1.788594,2.806987,-1.9637377,0.4628244,0.7263482,-0.5081454
-0.6454208,-0.068397,0.14091413,-0.97179127,-0.10298337,0.21217029
1.6208719,0.34836143,-0.8337075,0.87345237,0.18772434,-0.4492667
-1.4659199,-0.571793,0.11875288,-0.9289944,-0.36236125,0.075257026
-0.509505,1.0422293,-0.059598744,-0.43861127,0.89721113,-0.05130604
-0.009867118,-0.95904595,1.5705764,-0.005361791,-0.52114546,0.8534511
0.40643382,-0.14135148,0.024850477,0.9429379,-0.3279394,0.057653803
-0.40692028,1.8226432,-1.4539784,-0.17192963,0.7700928,-0.61432666
-1.3877845,-0.6952956,-1.4991329,-0.6431009,-0.32220078,-0.6946999
-1.2133317,0.46472797,-0.03744455,-0.9334569,0.35753086,-0.028807353
0.15713957,-1.8730934,-1.3099122,0.06858759,-0.81755954,-0.57174474
-1.7194371,-0.56926113,0.18699393,-0.9443054,-0.3126351,0.10269604
0.97901946,-1.9715879,0.5823182,0.4299601,-0.8658706,0.25573915
1.5530558,-0.21559949,0.87589526,0.86472476,-0.12004348,0.48768908
-0.6226602,-0.50495356,-0.77974826,-0.5567703,-0.4515194,-0.69723535
1.0032314,-0.28111443,-0.808767,0.7606346,-0.21313663,-0.6131947
-1.2349225,-1.5359848,0.94450253,-0.56505513,-0.7028101,0.43216962
0.40407717,-0.21827619,0.24072698,0.77927595,-0.4209527,0.4642498
-1.6908529,0.3333692,0.028500032,-0.98097867,0.19341013,0.016534805
